YrMo,Annual,Ann Unc
1750.5,7.325,
1751.5,7.225,
1752.5,,
1753.5,7.562,1.057
1754.5,8.138,1.069
1755.5,7.811,0.824
1756.5,8.089,1.41
1757.5,8.211,0.899
1758.5,6.165,0.977
1759.5,7.168,1.773
1760.5,6.239,1.426
1761.5,7.778,1.202
1762.5,7.706,1.854
1763.5,6.668,2.448
1764.5,7.888,1.453
1765.5,8.09,0.85
1766.5,8.075,1.603
1767.5,7.953,1.011
1768.5,6.566,1.025
1769.5,7.528,1.045
1770.5,7.534,0.847
1771.5,7.493,0.827
1772.5,8.005,0.99
1773.5,8.184,0.9
1774.5,8.598,1.303
1775.5,8.652,0.793
1776.5,7.584,1.535
1777.5,7.57,0.818
1778.5,7.776,1.305
1779.5,8.208,1.53
1780.5,8.83,2.351
1781.5,8.137,1.274
1782.5,7.916,0.971
1783.5,7.733,0.729
1784.5,7.94,2.074
1785.5,7.726,1.036
1786.5,8.05,0.992
1787.5,8.135,1.561
1788.5,8.323,1.298
1789.5,8.441,0.681
1790.5,8.161,0.588
1791.5,8.455,0.782
1792.5,8.233,0.835
1793.5,8.37,1.19
1794.5,8.723,0.988
1795.5,8.825,0.82
1796.5,8.42,0.963
1797.5,8.648,0.739
1798.5,8.6,0.987
1799.5,8.105,0.567
1800.5,8.246,0.712
1801.5,8.948,0.955
1802.5,8.791,0.638
1803.5,8.619,1.065
1804.5,8.679,0.584
1805.5,8.624,0.654
1806.5,8.52,0.703
1807.5,8.184,0.559
1808.5,7.61,0.968
1809.5,7.183,1.259
1810.5,7.063,1.143
1811.5,7.049,0.782
1812.5,7.211,1.064
1813.5,7.784,1.083
1814.5,7.696,1.079
1815.5,7.26,0.568
1816.5,6.936,0.574
1817.5,7.209,0.644
1818.5,8.299,1.16
1819.5,7.437,0.623
1820.5,7.773,0.616
1821.5,7.976,0.57
1822.5,8.035,0.629
1823.5,7.752,0.723
1824.5,8.389,0.471
1825.5,8.197,0.548
1826.5,8.382,0.568
1827.5,8.761,0.531
1828.5,8.065,0.849
1829.5,7.818,0.729
1830.5,8.474,0.741
1831.5,7.636,1.304
1832.5,7.45,0.644
1833.5,8.02,0.466
1834.5,8.137,0.415
1835.5,7.394,0.458
1836.5,7.638,0.519
1837.5,7.358,0.6
1838.5,7.485,0.615
1839.5,7.71,0.757
1840.5,7.76,0.434
1841.5,7.564,0.396
1842.5,7.957,0.408
1843.5,8.117,0.395
1844.5,7.613,0.357
1845.5,7.771,0.432
1846.5,8.53,0.486
1847.5,8.039,0.566
1848.5,7.961,0.457
1849.5,7.948,0.39
1850.5,7.832,0.352
1851.5,8.113,0.426
1852.5,8.004,0.38
1853.5,8.029,0.432
1854.5,8.186,0.345
1855.5,8.128,0.273
1856.5,8.054,0.282
1857.5,7.794,0.331
1858.5,8.193,0.234
1859.5,8.377,0.224
1860.5,7.981,0.432
1861.5,7.929,0.302
1862.5,7.552,0.341
1863.5,8.159,0.474
1864.5,8.016,0.342
1865.5,8.241,0.29
1866.5,8.349,0.321
1867.5,8.497,0.331
1868.5,8.218,0.368
1869.5,8.45,0.467
1870.5,8.172,0.35
1871.5,8.038,0.267
1872.5,8.109,0.26
1873.5,8.277,0.283
1874.5,8.4,0.246
1875.5,7.893,0.197
1876.5,8.113,0.201
1877.5,8.511,0.214
1878.5,8.875,0.299
1879.5,8.181,0.229
1880.5,8.059,0.215
1881.5,8.289,0.217
1882.5,8.14,0.164
1883.5,8.042,0.142
1884.5,7.837,0.18
1885.5,7.997,0.198
1886.5,7.982,0.189
1887.5,7.954,0.185
1888.5,8.171,0.172
1889.5,8.363,0.157
1890.5,7.987,0.162
1891.5,8.057,0.15
1892.5,8.084,0.133
1893.5,8.081,0.112
1894.5,8.211,0.149
1895.5,8.209,0.131
1896.5,8.265,0.159
1897.5,8.345,0.146
1898.5,8.201,0.179
1899.5,8.455,0.132
1900.5,8.566,0.147
1901.5,8.573,0.158
1902.5,8.316,0.178
1903.5,8.24,0.122
1904.5,8.106,0.111
1905.5,8.26,0.146
1906.5,8.408,0.108
1907.5,7.993,0.123
1908.5,8.21,0.16
1909.5,8.2,0.136
1910.5,8.243,0.142
1911.5,8.187,0.125
1912.5,8.171,0.118
1913.5,8.307,0.099
1914.5,8.615,0.112
1915.5,8.578,0.115
1916.5,8.221,0.106
1917.5,8.0,0.129
1918.5,8.118,0.105
1919.5,8.359,0.107
1920.5,8.329,0.129
1921.5,8.539,0.115
1922.5,8.375,0.14
1923.5,8.388,0.115
1924.5,8.458,0.118
1925.5,8.477,0.11
1926.5,8.667,0.101
1927.5,8.451,0.096
1928.5,8.559,0.099
1929.5,8.147,0.089
1930.5,8.529,0.094
1931.5,8.629,0.101
1932.5,8.615,0.101
1933.5,8.256,0.096
1934.5,8.536,0.103
1935.5,8.415,0.094
1936.5,8.456,0.096
1937.5,8.602,0.095
1938.5,8.779,0.101
1939.5,8.689,0.087
1940.5,8.685,0.085
1941.5,8.674,0.088
1942.5,8.639,0.086
1943.5,8.673,0.083
1944.5,8.767,0.086
1945.5,8.502,0.084
1946.5,8.602,0.081
1947.5,8.726,0.081
1948.5,8.667,0.076
1949.5,8.509,0.077
1950.5,8.302,0.069
1951.5,8.562,0.068
1952.5,8.581,0.082
1953.5,8.809,0.087
1954.5,8.501,0.072
1955.5,8.566,0.055
1956.5,8.221,0.041
1957.5,8.605,0.057
1958.5,8.696,0.025
1959.5,8.689,0.023
1960.5,8.512,0.059
1961.5,8.732,0.024
1962.5,8.67,0.043
1963.5,8.793,0.04
1964.5,8.33,0.034
1965.5,8.465,0.023
1966.5,8.549,0.024
1967.5,8.651,0.024
1968.5,8.455,0.028
1969.5,8.539,0.026
1970.5,8.662,0.041
1971.5,8.559,0.033
1972.5,8.452,0.023
1973.5,8.931,0.027
1974.5,8.438,0.037
1975.5,8.727,0.037
1976.5,8.348,0.053
1977.5,8.867,0.038
1978.5,8.699,0.046
1979.5,8.711,0.036
1980.5,8.979,0.048
1981.5,9.153,0.015
1982.5,8.654,0.04
1983.5,9.039,0.041
1984.5,8.689,0.032
1985.5,8.669,0.049
1986.5,8.857,0.024
1987.5,9.015,0.03
1988.5,9.215,0.03
1989.5,8.943,0.032
1990.5,9.252,0.031
1991.5,9.206,0.027
1992.5,8.843,0.027
1993.5,8.887,0.025
1994.5,9.058,0.019
1995.5,9.358,0.018
1996.5,9.048,0.015
1997.5,9.198,0.027
1998.5,9.538,0.038
1999.5,9.289,0.043
2000.5,9.209,0.03
2001.5,9.416,0.028
2002.5,9.587,0.037
2003.5,9.527,0.034
2004.5,9.336,0.041
2005.5,9.717,0.031
2006.5,9.547,0.034
2007.5,9.75,0.028
2008.5,9.456,0.029
2009.5,9.546,0.034
2010.5,9.721,0.03
2011.5,9.543,0.009
2012.5,9.502,0.038
2013.5,9.618,0.04
2014.5,9.591,0.024
2015.5,9.848,0.021
2016.5,10.046,0.05
2017.5,9.918,0.037
2018.5,9.754,0.039
2019.5,9.957,0.066
2020.5,10.12,0.049
2021.5,,
